"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C3, C4";"C1_wide_lg_pad_2";3;"100n";;;
2;"C2";"C_Radial_D6.3_L11.2_P2.5";1;"100u";;;
3;"C5, C6";"C1_lg_pad";2;"22p";;;
4;"D1";"TH_LED-5MM_AK";1;"LED";;;
5;"DCDC1";"TH_DCDC_Step_up_MT3608";1;"DC-DC_GENERIC";;;
6;"J1";"SIL-3_lg_pad_PWR_SELECT";1;"PWR SEL";;;
7;"P1";"SIL-4_Grove_SCREW";1;"SERIAL";;;
8;"P2";"RS485 Logo Design";1;"LOGO2";;;
9;"P3";"PCB_outline_JSL22L";1;"PCB";;;
10;"P5";"SIL-4_Grove_Labelled_Correct";1;"I2C";;;
11;"P6";"SIL-4_Grove_SCREW";1;"RS485";;;
12;"P7";"ID_SELECT_3x2";1;"BOARD ID";;;
13;"P8";"TH_6x1_FTDI";1;"PROG";;;
14;"P9";"ISP_3x2";1;"ISP";;;
15;"P10";"TCEC_Words_13mm";1;"LOGO3";;;
16;"P11";"2019_011_16_CuriousElectricCompany_Logo_Round_Logo_No_words_KiCAD_10mm_PCBLogo";1;"LOGO2";;;
17;"Q1";"TO-92_Inline";1;"2N3904";;;
18;"Q2";"TO-251-3_Vertical";1;"IRFR9220";;;
19;"R1";"TH_Resistor_1";1;"1k";;;
20;"R2, R3";"TH_Resistor_1";2;"100k";;;
21;"R4";"TH_Resistor_1";1;"470";;;
22;"R5";"TH_Resistor_1";1;"10k";;;
23;"R6, R7";"TH_Resistor_1";2;"4k7";;;
24;"SW1";"TH_FRONT_SW";1;"SWA";;;
25;"SW2";"TH_FRONT_SW";1;"RST";;;
26;"U1";"TH_RS485_BI_SERIAL";1;"RS485_TTL_Module";;;
27;"U2";"DIP-28_W7.62mm";1;"ATmega328P-P";;;
28;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz_XTAL";;;
